index,source_image,expression_image,reference_image
0,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10058.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10045.jpg,
1,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10059.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10058.jpg,
2,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10063.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10059.jpg,
3,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/1007.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10063.jpg,
4,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10076.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/1007.jpg,
5,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10079.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10076.jpg,
6,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10080.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10079.jpg,
7,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10094.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10080.jpg,
8,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/101.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10094.jpg,
9,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/1010.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/101.jpg,
10,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10111.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/1010.jpg,
11,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10117.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10111.jpg,
12,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10131.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10117.jpg,
13,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10141.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10131.jpg,
14,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10143.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10141.jpg,
15,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10160.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10143.jpg,
16,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10161.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10160.jpg,
17,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10172.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10161.jpg,
18,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10178.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10172.jpg,
19,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10045.jpg,/mnt/personal_workspace/chenkeyu/ReMark/Dataset-CelebA_HQ/val/10178.jpg,
